"","hour","floor","direction","count"
"435","2","01","up",5
"436","3","01","up",4
"437","4","01","up",5
"438","5","01","up",148
"439","6","01","up",612
"440","7","01","up",951
"441","8","01","up",830
"442","9","01","up",664
"443","10","01","up",627
"444","11","01","up",543
"445","12","01","up",612
"446","13","01","up",640
"447","14","01","up",575
"448","15","01","up",545
"449","16","01","up",560
"450","17","01","up",493
"451","18","01","up",334
"452","19","01","up",268
"453","20","01","up",179
"454","21","01","up",153
"455","22","01","up",222
"456","23","01","up",55
"457","0","02","up",1
"458","1","02","up",1
"459","2","02","up",0
"460","3","02","up",0
"461","4","02","up",1
"462","5","02","up",0
"463","6","02","up",10
"464","7","02","up",109
"465","8","02","up",210
"466","9","02","up",249
"467","10","02","up",238
"468","11","02","up",288
"469","12","02","up",254
"470","13","02","up",274
"471","14","02","up",267
"472","15","02","up",259
"473","16","02","up",289
"474","17","02","up",230
"475","18","02","up",121
"476","19","02","up",65
"477","20","02","up",23
"478","21","02","up",11
"479","22","02","up",8
"480","23","02","up",2
"481","0","03","up",29
"482","1","03","up",10
"483","2","03","up",6
"484","3","03","up",2
"485","4","03","up",3
"486","5","03","up",0
"487","6","03","up",3
"488","7","03","up",27
"489","8","03","up",77
"490","9","03","up",159
"491","10","03","up",145
"492","11","03","up",178
"493","12","03","up",130
"494","13","03","up",147
"495","14","03","up",221
"496","15","03","up",215
"497","16","03","up",225
"498","17","03","up",158
"499","18","03","up",74
"500","19","03","up",58
"501","20","03","up",18
"502","21","03","up",21
"503","22","03","up",11
"504","23","03","up",12
"505","0","04","up",54
"506","1","04","up",24
"507","2","04","up",19
"508","3","04","up",9
"509","4","04","up",3
"510","5","04","up",9
"511","6","04","up",34
"512","7","04","up",113
"513","8","04","up",141
"514","9","04","up",159
"515","10","04","up",187
"516","11","04","up",165
"517","12","04","up",174
"518","13","04","up",178
"519","14","04","up",213
"520","15","04","up",251
"521","16","04","up",255
"522","17","04","up",224
"523","18","04","up",180
"524","19","04","up",140
"525","20","04","up",70
"526","21","04","up",46
"527","22","04","up",38
"528","23","04","up",22
"529","0","05","up",60
"530","1","05","up",9
"531","2","05","up",14
"532","3","05","up",9
"533","4","05","up",7
"534","5","05","up",5
"535","6","05","up",8
"536","7","05","up",60
"537","8","05","up",75
"538","9","05","up",120
"539","10","05","up",152
"540","11","05","up",171
"541","12","05","up",138
"542","13","05","up",151
"543","14","05","up",175
"544","15","05","up",176
"545","16","05","up",174
"546","17","05","up",143
"547","18","05","up",101
"548","19","05","up",77
"549","20","05","up",35
"550","21","05","up",31
"551","22","05","up",22
"552","23","05","up",21
"553","0","06","up",5
"554","1","06","up",5
"555","2","06","up",3
"556","3","06","up",1
"557","4","06","up",0
"558","5","06","up",6
"559","6","06","up",221
"560","7","06","up",222
"561","8","06","up",56
"562","9","06","up",94
"563","10","06","up",105
"564","11","06","up",69
"565","12","06","up",63
"566","13","06","up",65
"567","14","06","up",134
"568","15","06","up",178
"569","16","06","up",80
"570","17","06","up",63
"571","18","06","up",29
"572","19","06","up",37
"573","20","06","up",27
"574","21","06","up",22
"575","22","06","up",38
"576","23","06","up",55
"577","0","07","up",13
"578","1","07","up",10
"579","2","07","up",6
"580","3","07","up",8
"581","4","07","up",7
"582","5","07","up",4
"583","6","07","up",3
"584","7","07","up",7
"585","8","07","up",18
"586","9","07","up",101
"587","10","07","up",106
"588","11","07","up",77
"589","12","07","up",54
"590","13","07","up",66
"591","14","07","up",99
"592","15","07","up",107
"593","16","07","up",96
"594","17","07","up",52
"595","18","07","up",26
"596","19","07","up",33
"597","20","07","up",19
"598","21","07","up",7
"599","22","07","up",11
"600","23","07","up",6
"601","0","08","up",0
"602","1","08","up",0
"603","2","08","up",0
"604","3","08","up",2
"605","4","08","up",0
"606","5","08","up",1
"607","6","08","up",0
"608","7","08","up",7
"609","8","08","up",38
"610","9","08","up",59
"611","10","08","up",51
"612","11","08","up",46
"613","12","08","up",28
"614","13","08","up",33
"615","14","08","up",49
"616","15","08","up",57
"617","16","08","up",42
"618","17","08","up",30
"619","18","08","up",16
"620","19","08","up",9
"621","20","08","up",8
"622","21","08","up",3
"623","22","08","up",3
"624","23","08","up",1
"625","0","09","up",1
"626","1","09","up",0
"627","2","09","up",1
