"","hour","floor","direction","count"
"202","9","13","down",426
"203","10","13","down",390
"204","11","13","down",410
"205","12","13","down",456
"206","13","13","down",419
"207","14","13","down",415
"208","15","13","down",432
"209","16","13","down",463
"210","17","13","down",500
"211","18","13","down",493
"212","19","13","down",485
"213","20","13","down",441
"214","21","13","down",407
"215","22","13","down",225
"216","23","13","down",124
"217","0","14","down",124
"218","1","14","down",97
"219","2","14","down",34
"220","3","14","down",30
"221","4","14","down",21
"222","5","14","down",97
"223","6","14","down",259
"224","7","14","down",333
"225","8","14","down",416
"226","9","14","down",412
"227","10","14","down",366
"228","11","14","down",421
"229","12","14","down",467
"230","13","14","down",435
"231","14","14","down",388
"232","15","14","down",411
"233","16","14","down",451
"234","17","14","down",504
"235","18","14","down",479
"236","19","14","down",437
"237","20","14","down",382
"238","21","14","down",304
"239","22","14","down",243
"240","23","14","down",149
"241","0","15","down",102
"242","1","15","down",61
"243","2","15","down",27
"244","3","15","down",13
"245","4","15","down",16
"246","5","15","down",47
"247","6","15","down",221
"248","7","15","down",280
"249","8","15","down",366
"250","9","15","down",407
"251","10","15","down",371
"252","11","15","down",433
"253","12","15","down",440
"254","13","15","down",386
"255","14","15","down",367
"256","15","15","down",388
"257","16","15","down",447
"258","17","15","down",468
"259","18","15","down",404
"260","19","15","down",375
"261","20","15","down",340
"262","21","15","down",298
"263","22","15","down",189
"264","23","15","down",112
"265","0","B1","down",0
"266","1","B1","down",1
"267","2","B1","down",1
"268","3","B1","down",1
"269","4","B1","down",1
"270","5","B1","down",4
"271","6","B1","down",25
"272","7","B1","down",39
"273","8","B1","down",42
"274","9","B1","down",37
"275","10","B1","down",49
"276","11","B1","down",47
"277","12","B1","down",71
"278","13","B1","down",42
"279","14","B1","down",43
"280","15","B1","down",49
"281","16","B1","down",40
"282","17","B1","down",35
"283","18","B1","down",26
"284","19","B1","down",23
"285","20","B1","down",10
"286","21","B1","down",7
"287","22","B1","down",4
"288","23","B1","down",2
"289","0","01","up",391
"290","1","01","up",271
"291","2","01","up",195
"292","3","01","up",167
"293","4","01","up",129
"294","5","01","up",264
"295","6","01","up",983
"296","7","01","up",855
"297","8","01","up",703
"298","9","01","up",710
"299","10","01","up",640
"300","11","01","up",554
"301","12","01","up",574
"302","13","01","up",621
"303","14","01","up",626
"304","15","01","up",674
"305","16","01","up",646
"306","17","01","up",612
"307","18","01","up",642
"308","19","01","up",753
"309","20","01","up",860
"310","21","01","up",1032
"311","22","01","up",1005
"312","23","01","up",776
"313","0","02","up",0
"314","1","02","up",0
"315","2","02","up",0
"316","3","02","up",0
"317","4","02","up",3
"318","5","02","up",0
"319","6","02","up",3
"320","7","02","up",35
"321","8","02","up",139
"322","9","02","up",129
"323","10","02","up",129
"324","11","02","up",131
"325","12","02","up",97
"326","13","02","up",128
"327","14","02","up",120
