,floor,hour,week,direction,total,count,week_avgWait
945,8,18,1,up,80.73,6,13.455
946,8,18,2,down,85.48,4,21.37
947,8,18,2,up,74.54,5,14.908
948,8,18,3,down,261.02,10,26.102
949,8,18,3,up,45.94,3,15.31333333
950,8,18,4,down,142.57,6,23.76166667
951,8,18,4,up,20.19,2,10.095
952,8,18,5,down,255.93,9,28.43666667
953,8,18,5,up,29.88,2,14.94
954,8,18,6,down,117.69,12,9.8075
955,8,18,6,up,113.97,6,18.995
956,8,19,0,down,72.86,5,14.572
957,8,19,0,up,113.38,5,22.676
958,8,19,1,down,193.53,9,21.50333333
959,8,19,1,up,183.12,8,22.89
960,8,19,2,down,154.18,9,17.13111111
961,8,19,2,up,49.08,5,9.816
962,8,19,3,down,96.4,5,19.28
963,8,19,3,up,147.36,8,18.42
964,8,19,4,down,97.48,3,32.49333333
965,8,19,4,up,14.96,1,14.96
966,8,19,5,down,181.46,6,30.24333333
967,8,19,5,up,27.09,1,27.09
968,8,19,6,down,61.12,4,15.28
969,8,19,6,up,42.98,3,14.32666667
970,8,20,0,down,21.66,3,7.22
971,8,20,0,up,98.89,4,24.7225
972,8,20,1,down,88.6,5,17.72
973,8,20,1,up,126.02,4,31.505
974,8,20,2,down,125.93,7,17.99
975,8,20,2,up,103.26,4,25.815
976,8,20,3,down,57.55,3,19.18333333
977,8,20,3,up,93.37,5,18.674
978,8,20,4,down,12.11,2,6.055
979,8,20,4,up,18.49,1,18.49
980,8,20,5,down,379.08,13,29.16
981,8,20,5,up,162.48,5,32.496
982,8,20,6,down,61.75,4,15.4375
983,8,21,0,down,13.29,1,13.29
984,8,21,0,up,29.54,2,14.77
985,8,21,1,down,61.06,4,15.265
986,8,21,1,up,37.69,2,18.845
987,8,21,2,down,104.91,9,11.65666667
988,8,21,2,up,84.04,4,21.01
989,8,21,3,down,16.06,1,16.06
990,8,21,3,up,81.42,4,20.355
991,8,21,4,down,50.03,2,25.015
992,8,21,4,up,39.21,3,13.07
993,8,21,5,down,85.72,3,28.57333333
994,8,21,5,up,82.62,6,13.77
995,8,21,6,up,55.86,3,18.62
996,8,22,0,down,170.77,10,17.077
997,8,22,0,up,2.68,1,2.68
998,8,22,1,down,307.76,14,21.98285714
999,8,22,1,up,105.09,7,15.01285714
1000,8,22,2,down,363.73,16,22.733125
1001,8,22,2,up,107.23,4,26.8075
1002,8,22,3,down,157.63,11,14.33
1003,8,22,3,up,11.97,3,3.99
1004,8,22,4,down,141.03,5,28.206
1005,8,22,5,down,357.46,14,25.53285714
1006,8,22,5,up,59.71,4,14.9275
1007,8,22,6,down,258.57,14,18.46928571
1008,8,23,0,down,258.83,12,21.56916667
1009,8,23,1,down,109.66,6,18.27666667
1010,8,23,1,up,60.97,3,20.32333333
1011,8,23,2,down,164.51,11,14.95545455
1012,8,23,3,down,157.45,9,17.49444444
1013,8,23,3,up,48.54,3,16.18
1014,8,23,4,down,59.43,2,29.715
1015,8,23,4,up,24.71,1,24.71
1016,8,23,5,down,253.64,11,23.05818182
1017,8,23,5,up,12.45,1,12.45
1018,8,23,6,down,230.01,9,25.55666667
1019,8,23,6,up,31.21,2,15.605
1020,9,0,0,down,41.88,3,13.96
1021,9,0,1,down,31.5,3,10.5
1022,9,0,2,down,43.34,3,14.44666667
1023,9,0,3,down,1.32,1,1.32
1024,9,0,4,down,9.46,1,9.46
1025,9,0,5,down,18.75,1,18.75
1026,9,0,5,up,35.36,1,35.36
1027,9,0,6,down,28.49,2,14.245
1028,9,0,6,up,31.48,1,31.48
1029,9,1,0,down,1.35,1,1.35
1030,9,1,1,down,40.81,3,13.60333333
1031,9,1,2,down,36.47,4,9.1175
1032,9,1,3,down,17.68,1,17.68
1033,9,1,4,down,10.86,1,10.86
1034,9,1,5,down,1.11,1,1.11
1035,9,1,5,up,1.01,1,1.01
1036,9,1,6,down,59.51,4,14.8775
1037,9,2,0,down,9.22,1,9.22
1038,9,2,1,down,29.95,3,9.983333333
1039,9,2,2,down,16.23,1,16.23
1040,9,2,3,up,2.72,1,2.72
1041,9,2,4,down,22.34,2,11.17
1042,9,2,5,down,1.2,1,1.2
1043,9,2,6,down,50.36,5,10.072
1044,9,2,6,up,40.78,1,40.78
1045,9,3,1,up,2.35,2,1.175
1046,9,3,6,down,2.72,1,2.72
1047,9,4,3,down,21.77,1,21.77
1048,9,4,4,down,17.67,1,17.67
1049,9,4,6,down,17.63,2,8.815
1050,9,5,0,down,24.42,1,24.42
1051,9,5,1,down,2.72,1,2.72
1052,9,5,2,down,8.16,1,8.16
1053,9,5,3,down,57.59,4,14.3975
1054,9,5,4,down,27.2,1,27.2
1055,9,5,5,down,23.08,1,23.08
1056,9,5,6,down,19.29,2,9.645
1057,9,6,0,down,403.55,23,17.54565217
1058,9,6,1,down,395.96,24,16.49833333
1059,9,6,1,up,21.84,1,21.84
1060,9,6,2,down,608.8,28,21.74285714
1061,9,6,2,up,12.24,1,12.24
1062,9,6,3,down,595.97,29,20.55068966
1063,9,6,4,down,424.34,29,14.63241379
1064,9,6,5,down,199.45,12,16.62083333
1065,9,6,6,down,453.98,25,18.1592
1066,9,6,6,up,2.74,1,2.74
1067,9,7,0,down,277.94,15,18.52933333
1068,9,7,1,down,361.39,23,15.7126087
1069,9,7,1,up,20.8,1,20.8
1070,9,7,2,down,268.51,18,14.91722222
1071,9,7,3,down,245.83,18,13.65722222
1072,9,7,4,down,445.56,25,17.8224
1073,9,7,5,down,190.66,13,14.66615385
1074,9,7,6,down,345.51,19,18.18473684
1075,9,8,0,down,72.63,6,12.105
1076,9,8,1,down,183.77,8,22.97125
1077,9,8,2,down,114.08,6,19.01333333
1078,9,8,2,up,20.41,1,20.41
1079,9,8,3,down,128.61,9,14.29
1080,9,8,4,down,125.35,8,15.66875
1081,9,8,5,down,477.04,20,23.852
1082,9,8,5,up,48.98,1,48.98
1083,9,8,6,down,127.46,8,15.9325
1084,9,8,6,up,20.3,1,20.3
1085,9,9,0,down,151.77,9,16.86333333
1086,9,9,0,up,27.58,1,27.58
1087,9,9,1,down,105.22,4,26.305
1088,9,9,2,down,205.87,10,20.587
1089,9,9,3,down,26.07,2,13.035
1090,9,9,4,down,135.95,8,16.99375
1091,9,9,5,down,152.23,11,13.83909091
1092,9,9,5,up,57.07,1,57.07
1093,9,9,6,down,163.46,8,20.4325
1094,9,10,0,down,85.94,7,12.27714286
1095,9,10,1,down,170.85,9,18.98333333
1096,9,10,2,down,134.55,7,19.22142857
1097,9,10,3,down,185.44,11,16.85818182
1098,9,10,4,down,135.86,5,27.172
1099,9,10,5,down,331.9,19,17.46842105
1100,9,10,5,up,73.47,1,73.47
1101,9,10,6,down,156.16,9,17.35111111
1102,9,10,6,up,2.71,1,2.71
1103,9,11,0,down,278.97,13,21.45923077
1104,9,11,1,down,178.5,10,17.85
1105,9,11,2,down,141.3,11,12.84545455
1106,9,11,3,down,149.33,11,13.57545455
1107,9,11,3,up,45.54,1,45.54
1108,9,11,4,down,288.8,10,28.88
1109,9,11,5,down,389.63,21,18.55380952
